run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_070312_977707,python_execute,0,python_execute,1,0,0,0.007346,0.989482
20260623_070312_977707,python_execute,0,python_execute,1,0,1,0.010192,0.997179
20260623_070312_977707,python_execute,0,python_execute,1,0,2,0.012094,0.995295
20260623_070312_977707,python_execute,0,python_execute,1,0,3,0.014728,0.987352
20260623_070312_977707,python_execute,0,python_execute,1,0,4,0.007851,0.999611
20260623_070312_977707,python_execute,0,python_execute,1,0,5,0.008326,0.981348
20260623_070312_977707,python_execute,0,python_execute,1,0,6,0.007439,0.993219
20260623_070312_977707,python_execute,0,python_execute,1,0,7,0.012212,0.995889
20260623_070312_977707,python_execute,0,python_execute,1,1,0,0.013131,0.998071
20260623_070312_977707,python_execute,0,python_execute,1,1,1,0.010593,0.998634
20260623_070312_977707,python_execute,0,python_execute,1,1,2,0.009995,0.983940
20260623_070312_977707,python_execute,0,python_execute,1,1,3,0.017464,0.992734
20260623_070312_977707,python_execute,0,python_execute,1,1,4,0.011679,0.995025
20260623_070312_977707,python_execute,0,python_execute,1,1,5,0.011818,0.996868
20260623_070312_977707,python_execute,0,python_execute,1,1,6,0.013303,0.981295
20260623_070312_977707,python_execute,0,python_execute,1,1,7,0.020161,0.998665
20260623_070312_977707,python_execute,0,python_execute,1,2,0,0.039410,0.952687
20260623_070312_977707,python_execute,0,python_execute,1,2,1,0.021042,0.982390
20260623_070312_977707,python_execute,0,python_execute,1,2,2,0.016166,0.970930
20260623_070312_977707,python_execute,0,python_execute,1,2,3,0.016026,0.985446
20260623_070312_977707,python_execute,0,python_execute,1,2,4,0.024251,0.993435
20260623_070312_977707,python_execute,0,python_execute,1,2,5,0.017796,0.982515
20260623_070312_977707,python_execute,0,python_execute,1,2,6,0.017277,0.976780
20260623_070312_977707,python_execute,0,python_execute,1,2,7,0.024859,0.973909
20260623_070312_977707,python_execute,0,python_execute,1,3,0,0.042053,0.970874
20260623_070312_977707,python_execute,0,python_execute,1,3,1,0.018120,0.993016
20260623_070312_977707,python_execute,0,python_execute,1,3,2,0.028517,0.958867
20260623_070312_977707,python_execute,0,python_execute,1,3,3,0.030539,0.966860
20260623_070312_977707,python_execute,0,python_execute,1,3,4,0.026430,0.963313
