run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_203541_961434,web_search,0,web_search,1,0,0,0.006313,0.993678
20260623_203541_961434,web_search,0,web_search,1,0,1,0.006349,0.998859
20260623_203541_961434,web_search,0,web_search,1,0,2,0.007637,0.997963
20260623_203541_961434,web_search,0,web_search,1,0,3,0.008094,0.996515
20260623_203541_961434,web_search,0,web_search,1,0,4,0.005414,0.999814
20260623_203541_961434,web_search,0,web_search,1,0,5,0.005329,0.992365
20260623_203541_961434,web_search,0,web_search,1,0,6,0.004867,0.996791
20260623_203541_961434,web_search,0,web_search,1,0,7,0.008125,0.998134
20260623_203541_961434,web_search,0,web_search,1,1,0,0.010159,0.998947
20260623_203541_961434,web_search,0,web_search,1,1,1,0.007624,0.999308
20260623_203541_961434,web_search,0,web_search,1,1,2,0.006717,0.993997
20260623_203541_961434,web_search,0,web_search,1,1,3,0.011520,0.997350
20260623_203541_961434,web_search,0,web_search,1,1,4,0.008170,0.997791
20260623_203541_961434,web_search,0,web_search,1,1,5,0.007994,0.998790
20260623_203541_961434,web_search,0,web_search,1,1,6,0.010002,0.992093
20260623_203541_961434,web_search,0,web_search,1,1,7,0.013990,0.999492
20260623_203541_961434,web_search,0,web_search,1,2,0,0.037187,0.969506
20260623_203541_961434,web_search,0,web_search,1,2,1,0.017571,0.989280
20260623_203541_961434,web_search,0,web_search,1,2,2,0.014317,0.978914
20260623_203541_961434,web_search,0,web_search,1,2,3,0.017675,0.983610
20260623_203541_961434,web_search,0,web_search,1,2,4,0.020360,0.995472
20260623_203541_961434,web_search,0,web_search,1,2,5,0.014856,0.988014
20260623_203541_961434,web_search,0,web_search,1,2,6,0.014218,0.985124
20260623_203541_961434,web_search,0,web_search,1,2,7,0.023984,0.981609
20260623_203541_961434,web_search,0,web_search,1,3,0,0.031735,0.984067
20260623_203541_961434,web_search,0,web_search,1,3,1,0.013553,0.996430
20260623_203541_961434,web_search,0,web_search,1,3,2,0.023706,0.977572
20260623_203541_961434,web_search,0,web_search,1,3,3,0.023232,0.984882
20260623_203541_961434,web_search,0,web_search,1,3,4,0.023347,0.972235
