run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine,input_tokens_a,input_tokens_b,overlap_tokens,overlap_pct_a,overlap_pct_b
20260629_204312_652813,web_search,0,terminate,1,0,0,0.010443,0.978159,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,1,0.015697,0.992840,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,2,0.013838,0.993268,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,3,0.013628,0.990419,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,4,0.010992,0.999281,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,5,0.009127,0.978231,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,6,0.011255,0.984256,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,0,7,0.012700,0.995452,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,0,0.025297,0.993531,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,1,0.017286,0.996412,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,2,0.016634,0.956192,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,3,0.021617,0.987744,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,4,0.018752,0.985427,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,5,0.017218,0.993258,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,6,0.019984,0.962699,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,1,7,0.024218,0.998510,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,0,0.036522,0.966144,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,1,0.021518,0.982859,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,2,0.022518,0.945677,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,3,0.025685,0.963295,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,4,0.025190,0.992928,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,5,0.023718,0.967414,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,6,0.021956,0.962027,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,2,7,0.025093,0.980134,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,0,0.045487,0.963993,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,1,0.026604,0.984574,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,2,0.030585,0.955272,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,3,0.036250,0.953657,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,4,0.028454,0.952230,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,5,0.030667,0.977586,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,6,0.024492,0.968590,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,3,7,0.038613,0.938924,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,0,0.051738,0.954016,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,1,0.040549,0.963878,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,2,0.046168,0.996202,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,3,0.038040,0.954239,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,4,0.047110,0.948136,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,5,0.039879,0.973537,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,6,0.042490,0.926951,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,4,7,0.037784,0.952184,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,0,0.071781,0.990341,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,1,0.054715,0.973182,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,2,0.041760,0.956426,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,3,0.071361,0.991452,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,4,0.043460,0.995628,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,5,0.045341,0.969108,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,6,0.068086,0.963656,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,5,7,0.067313,0.949847,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,6,0,0.097425,0.925108,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,6,1,0.067983,0.981332,1900,2937,1900,100.00,64.69
20260629_204312_652813,web_search,0,terminate,1,6,2,0.094825,0.863625,1900,2937,1900,100.00,64.69
