run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_203847_709953,web_search,0,web_search,1,0,0,0.006254,0.994031
20260623_203847_709953,web_search,0,web_search,1,0,1,0.010939,0.996549
20260623_203847_709953,web_search,0,web_search,1,0,2,0.011601,0.995387
20260623_203847_709953,web_search,0,web_search,1,0,3,0.015485,0.988441
20260623_203847_709953,web_search,0,web_search,1,0,4,0.006170,0.999760
20260623_203847_709953,web_search,0,web_search,1,0,5,0.008478,0.982271
20260623_203847_709953,web_search,0,web_search,1,0,6,0.007263,0.993643
20260623_203847_709953,web_search,0,web_search,1,0,7,0.008988,0.997775
20260623_203847_709953,web_search,0,web_search,1,1,0,0.013653,0.997905
20260623_203847_709953,web_search,0,web_search,1,1,1,0.012576,0.998109
20260623_203847_709953,web_search,0,web_search,1,1,2,0.011150,0.982245
20260623_203847_709953,web_search,0,web_search,1,1,3,0.018366,0.992218
20260623_203847_709953,web_search,0,web_search,1,1,4,0.013736,0.993102
20260623_203847_709953,web_search,0,web_search,1,1,5,0.011424,0.997142
20260623_203847_709953,web_search,0,web_search,1,1,6,0.014924,0.981903
20260623_203847_709953,web_search,0,web_search,1,1,7,0.024022,0.998094
20260623_203847_709953,web_search,0,web_search,1,2,0,0.045620,0.953295
20260623_203847_709953,web_search,0,web_search,1,2,1,0.023050,0.981625
20260623_203847_709953,web_search,0,web_search,1,2,2,0.018501,0.963511
20260623_203847_709953,web_search,0,web_search,1,2,3,0.021210,0.976647
20260623_203847_709953,web_search,0,web_search,1,2,4,0.026164,0.992760
20260623_203847_709953,web_search,0,web_search,1,2,5,0.022166,0.972715
20260623_203847_709953,web_search,0,web_search,1,2,6,0.019433,0.971881
20260623_203847_709953,web_search,0,web_search,1,2,7,0.029661,0.970637
20260623_203847_709953,web_search,0,web_search,1,3,0,0.045903,0.967911
20260623_203847_709953,web_search,0,web_search,1,3,1,0.019620,0.992422
20260623_203847_709953,web_search,0,web_search,1,3,2,0.029238,0.964045
20260623_203847_709953,web_search,0,web_search,1,3,3,0.035267,0.963399
20260623_203847_709953,web_search,0,web_search,1,3,4,0.029245,0.954571
20260623_203847_709953,web_search,0,web_search,1,3,5,0.029243,0.982662
20260623_203847_709953,web_search,0,web_search,1,3,6,0.021390,0.977090
20260623_203847_709953,web_search,0,web_search,1,3,7,0.037009,0.950800
20260623_203847_709953,web_search,0,web_search,1,4,0,0.057074,0.957529
20260623_203847_709953,web_search,0,web_search,1,4,1,0.043314,0.968503
20260623_203847_709953,web_search,0,web_search,1,4,2,0.044318,0.996541
20260623_203847_709953,web_search,0,web_search,1,4,3,0.041509,0.957416
20260623_203847_709953,web_search,0,web_search,1,4,4,0.045062,0.954345
20260623_203847_709953,web_search,0,web_search,1,4,5,0.036222,0.979629
20260623_203847_709953,web_search,0,web_search,1,4,6,0.026750,0.975633
20260623_203847_709953,web_search,0,web_search,1,4,7,0.023380,0.983510
20260623_203847_709953,web_search,0,web_search,1,5,0,0.088147,0.987625
20260623_203847_709953,web_search,0,web_search,1,5,1,0.050978,0.979786
20260623_203847_709953,web_search,0,web_search,1,5,2,0.032257,0.977199
20260623_203847_709953,web_search,0,web_search,1,5,3,0.076975,0.989975
20260623_203847_709953,web_search,0,web_search,1,5,4,0.043912,0.995367
20260623_203847_709953,web_search,0,web_search,1,5,5,0.038362,0.980533
20260623_203847_709953,web_search,0,web_search,1,5,6,0.059528,0.979224
20260623_203847_709953,web_search,0,web_search,1,5,7,0.039228,0.983976
20260623_203847_709953,web_search,0,web_search,1,6,0,0.087782,0.949799
20260623_203847_709953,web_search,0,web_search,1,6,1,0.063634,0.984275
20260623_203847_709953,web_search,0,web_search,1,6,2,0.080796,0.917400
20260623_203847_709953,web_search,0,web_search,1,6,3,0.039005,0.948430
20260623_203847_709953,web_search,0,web_search,1,6,4,0.051256,0.979023
20260623_203847_709953,web_search,0,web_search,1,6,5,0.078352,0.972081
20260623_203847_709953,web_search,0,web_search,1,6,6,0.073876,0.962212
20260623_203847_709953,web_search,0,web_search,1,6,7,0.051051,0.970970
20260623_203847_709953,web_search,0,web_search,1,7,0,0.147661,0.982461
20260623_203847_709953,web_search,0,web_search,1,7,1,0.111601,0.968542
20260623_203847_709953,web_search,0,web_search,1,7,2,0.107831,0.992275
20260623_203847_709953,web_search,0,web_search,1,7,3,0.071458,0.963800
20260623_203847_709953,web_search,0,web_search,1,7,4,0.102583,0.987378
20260623_203847_709953,web_search,0,web_search,1,7,5,0.074364,0.969183
20260623_203847_709953,web_search,0,web_search,1,7,6,0.155718,0.964860
20260623_203847_709953,web_search,0,web_search,1,7,7,0.122460,0.984828
20260623_203847_709953,web_search,0,web_search,1,8,0,0.116231,0.990365
20260623_203847_709953,web_search,0,web_search,1,8,1,0.202113,0.937944
20260623_203847_709953,web_search,0,web_search,1,8,2,0.133705,0.988593
20260623_203847_709953,web_search,0,web_search,1,8,3,0.154596,0.970565
20260623_203847_709953,web_search,0,web_search,1,8,4,0.186320,0.966934
20260623_203847_709953,web_search,0,web_search,1,8,5,0.096419,0.986893
20260623_203847_709953,web_search,0,web_search,1,8,6,0.099346,0.986322
20260623_203847_709953,web_search,0,web_search,1,8,7,0.104927,0.989214
20260623_203847_709953,web_search,0,web_search,1,9,0,0.164596,0.975853
20260623_203847_709953,web_search,0,web_search,1,9,1,0.096643,0.992634
20260623_203847_709953,web_search,0,web_search,1,9,2,0.143335,0.976972
20260623_203847_709953,web_search,0,web_search,1,9,3,0.127964,0.982756
20260623_203847_709953,web_search,0,web_search,1,9,4,0.103967,0.984601
20260623_203847_709953,web_search,0,web_search,1,9,5,0.077083,0.976415
20260623_203847_709953,web_search,0,web_search,1,9,6,0.100228,0.977478
20260623_203847_709953,web_search,0,web_search,1,9,7,0.178635,0.974394
20260623_203847_709953,web_search,0,web_search,1,10,0,0.113988,0.992232
20260623_203847_709953,web_search,0,web_search,1,10,1,0.179765,0.930567
20260623_203847_709953,web_search,0,web_search,1,10,2,0.089009,0.982903
20260623_203847_709953,web_search,0,web_search,1,10,3,0.085948,0.959332
20260623_203847_709953,web_search,0,web_search,1,10,4,0.153241,0.980254
20260623_203847_709953,web_search,0,web_search,1,10,5,0.111071,0.993409
20260623_203847_709953,web_search,0,web_search,1,10,6,0.174618,0.920075
20260623_203847_709953,web_search,0,web_search,1,10,7,0.187358,0.963512
20260623_203847_709953,web_search,0,web_search,1,11,0,0.106031,0.975981
20260623_203847_709953,web_search,0,web_search,1,11,1,0.216175,0.948635
20260623_203847_709953,web_search,0,web_search,1,11,2,0.151152,0.973964
20260623_203847_709953,web_search,0,web_search,1,11,3,0.148592,0.969016
20260623_203847_709953,web_search,0,web_search,1,11,4,0.252625,0.942932
20260623_203847_709953,web_search,0,web_search,1,11,5,0.089237,0.974777
20260623_203847_709953,web_search,0,web_search,1,11,6,0.116375,0.982892
20260623_203847_709953,web_search,0,web_search,1,11,7,0.157859,0.955832
20260623_203847_709953,web_search,0,web_search,1,12,0,0.212523,0.963694
20260623_203847_709953,web_search,0,web_search,1,12,1,0.153889,0.964183
20260623_203847_709953,web_search,0,web_search,1,12,2,0.262448,0.985822
20260623_203847_709953,web_search,0,web_search,1,12,3,0.202784,0.970613
20260623_203847_709953,web_search,0,web_search,1,12,4,0.150283,0.983286
20260623_203847_709953,web_search,0,web_search,1,12,5,0.190911,0.963298
20260623_203847_709953,web_search,0,web_search,1,12,6,0.149527,0.977676
20260623_203847_709953,web_search,0,web_search,1,12,7,0.174797,0.969421
20260623_203847_709953,web_search,0,web_search,1,13,0,0.248837,0.983735
20260623_203847_709953,web_search,0,web_search,1,13,1,0.210083,0.984033
20260623_203847_709953,web_search,0,web_search,1,13,2,0.257028,0.986348
20260623_203847_709953,web_search,0,web_search,1,13,3,0.281346,0.971318
20260623_203847_709953,web_search,0,web_search,1,13,4,0.206942,0.965429
20260623_203847_709953,web_search,0,web_search,1,13,5,0.167723,0.962035
20260623_203847_709953,web_search,0,web_search,1,13,6,0.306143,0.984499
20260623_203847_709953,web_search,0,web_search,1,13,7,0.224487,0.962636
20260623_203847_709953,web_search,0,web_search,1,14,0,0.169062,0.971357
20260623_203847_709953,web_search,0,web_search,1,14,1,0.178025,0.954845
20260623_203847_709953,web_search,0,web_search,1,14,2,0.146021,0.991760
20260623_203847_709953,web_search,0,web_search,1,14,3,0.270464,0.978429
20260623_203847_709953,web_search,0,web_search,1,14,4,0.481296,0.981051
20260623_203847_709953,web_search,0,web_search,1,14,5,0.294064,0.964463
20260623_203847_709953,web_search,0,web_search,1,14,6,0.306918,0.981076
20260623_203847_709953,web_search,0,web_search,1,14,7,0.165305,0.984782
20260623_203847_709953,web_search,0,web_search,1,15,0,0.261043,0.980513
20260623_203847_709953,web_search,0,web_search,1,15,1,0.231448,0.984548
20260623_203847_709953,web_search,0,web_search,1,15,2,0.198580,0.981982
20260623_203847_709953,web_search,0,web_search,1,15,3,0.215299,0.981942
20260623_203847_709953,web_search,0,web_search,1,15,4,0.346105,0.977666
20260623_203847_709953,web_search,0,web_search,1,15,5,0.379376,0.962976
20260623_203847_709953,web_search,0,web_search,1,15,6,0.220100,0.982539
20260623_203847_709953,web_search,0,web_search,1,15,7,0.196594,0.985598
20260623_203847_709953,web_search,0,web_search,1,16,0,0.302683,0.965158
20260623_203847_709953,web_search,0,web_search,1,16,1,0.616231,0.914049
20260623_203847_709953,web_search,0,web_search,1,16,2,0.267104,0.978242
20260623_203847_709953,web_search,0,web_search,1,16,3,0.246501,0.960954
20260623_203847_709953,web_search,0,web_search,1,16,4,0.332778,0.974370
20260623_203847_709953,web_search,0,web_search,1,16,5,0.306109,0.973654
20260623_203847_709953,web_search,0,web_search,1,16,6,0.273188,0.976783
20260623_203847_709953,web_search,0,web_search,1,16,7,0.316887,0.983504
20260623_203847_709953,web_search,0,web_search,1,17,0,0.350335,0.976699
20260623_203847_709953,web_search,0,web_search,1,17,1,0.307030,0.967219
20260623_203847_709953,web_search,0,web_search,1,17,2,0.360043,0.955976
20260623_203847_709953,web_search,0,web_search,1,17,3,0.466488,0.965923
20260623_203847_709953,web_search,0,web_search,1,17,4,0.209123,0.983871
20260623_203847_709953,web_search,0,web_search,1,17,5,0.355692,0.965432
20260623_203847_709953,web_search,0,web_search,1,17,6,0.310915,0.984050
20260623_203847_709953,web_search,0,web_search,1,17,7,0.278751,0.979288
20260623_203847_709953,web_search,0,web_search,1,18,0,0.737376,0.960290
20260623_203847_709953,web_search,0,web_search,1,18,1,0.262288,0.968787
20260623_203847_709953,web_search,0,web_search,1,18,2,0.437386,0.965129
20260623_203847_709953,web_search,0,web_search,1,18,3,0.436282,0.974753
20260623_203847_709953,web_search,0,web_search,1,18,4,0.262231,0.973576
20260623_203847_709953,web_search,0,web_search,1,18,5,0.371866,0.974729
20260623_203847_709953,web_search,0,web_search,1,18,6,0.283846,0.962677
20260623_203847_709953,web_search,0,web_search,1,18,7,0.386535,0.963380
20260623_203847_709953,web_search,0,web_search,1,19,0,0.339106,0.961873
20260623_203847_709953,web_search,0,web_search,1,19,1,0.520702,0.939279
20260623_203847_709953,web_search,0,web_search,1,19,2,0.294516,0.954863
20260623_203847_709953,web_search,0,web_search,1,19,3,0.345335,0.978940
