run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine,input_tokens_a,input_tokens_b,overlap_tokens,overlap_pct_a,overlap_pct_b
20260629_211431_970929,terminate,0,terminate,1,0,0,0.008754,0.987216,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,1,0.012081,0.995665,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,2,0.011937,0.994993,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,3,0.012247,0.992640,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,4,0.007954,0.999593,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,5,0.007654,0.986225,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,6,0.007766,0.991712,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,0,7,0.010371,0.996933,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,0,0.017890,0.996203,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,1,0.013319,0.997892,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,2,0.011930,0.980347,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,3,0.021270,0.990779,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,4,0.015893,0.991758,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,5,0.013432,0.994924,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,6,0.017406,0.977727,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,1,7,0.013923,0.999349,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,0,0.044439,0.958008,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,1,0.022540,0.982350,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,2,0.021001,0.955346,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,3,0.021669,0.974878,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,4,0.026560,0.992197,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,5,0.025043,0.965992,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,6,0.019332,0.975007,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,2,7,0.026770,0.975460,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,0,0.048888,0.962882,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,1,0.028477,0.985554,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,2,0.032373,0.960521,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,3,0.041637,0.951107,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,4,0.032077,0.945579,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,5,0.029736,0.982016,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,6,0.024576,0.972496,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,3,7,0.044183,0.926161,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,0,0.051457,0.964588,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,1,0.042679,0.963639,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,2,0.042448,0.996688,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,3,0.043758,0.946678,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,4,0.052015,0.945107,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,5,0.037526,0.980238,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,6,0.032641,0.963353,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,4,7,0.033380,0.968789,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,0,0.059595,0.993038,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,1,0.051793,0.978947,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,2,0.034236,0.972562,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,3,0.058196,0.994086,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,4,0.038512,0.996571,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,5,0.040443,0.978860,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,6,0.060543,0.975911,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,5,7,0.055054,0.971317,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,0,0.095606,0.945246,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,1,0.077652,0.978349,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,2,0.101882,0.857019,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,3,0.043692,0.931747,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,4,0.057646,0.975928,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,5,0.082252,0.969552,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,6,0.080342,0.964054,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,6,7,0.057870,0.965885,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,0,0.180147,0.976337,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,1,0.115521,0.964185,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,2,0.112668,0.991733,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,3,0.083573,0.951150,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,4,0.125462,0.981312,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,5,0.084682,0.957153,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,6,0.165593,0.963933,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,7,7,0.160134,0.972116,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,0,0.150332,0.983906,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,1,0.219393,0.929908,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,2,0.145343,0.987126,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,3,0.150448,0.976465,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,4,0.249334,0.941313,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,5,0.124589,0.976135,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,6,0.111870,0.983059,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,8,7,0.119512,0.982455,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,0,0.178482,0.972284,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,1,0.115646,0.988789,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,2,0.145429,0.976558,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,3,0.135944,0.979360,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,4,0.123924,0.978299,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,5,0.080187,0.975614,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,6,0.103305,0.976421,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,9,7,0.176268,0.974572,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,0,0.125728,0.989599,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,1,0.185669,0.929892,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,2,0.111858,0.973246,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,3,0.098562,0.948937,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,4,0.168589,0.976393,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,5,0.159122,0.987204,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,6,0.198478,0.908055,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,10,7,0.245090,0.943662,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,0,0.134082,0.958556,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,1,0.257801,0.939355,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,2,0.193107,0.947142,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,3,0.181308,0.951343,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,4,0.271588,0.942945,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,5,0.099453,0.968035,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,6,0.143101,0.971286,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,11,7,0.170519,0.953664,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,0,0.210930,0.965653,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,1,0.162228,0.961351,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,2,0.253609,0.986712,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,3,0.221989,0.969266,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,4,0.191436,0.968240,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,5,0.189768,0.959427,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,6,0.192422,0.955562,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,12,7,0.205566,0.950267,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,0,0.261465,0.981355,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,1,0.299902,0.962261,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,2,0.308889,0.978984,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,3,0.287172,0.964585,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,4,0.222527,0.952284,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,5,0.207237,0.937432,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,6,0.322650,0.983157,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,13,7,0.288690,0.944204,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,0,0.233890,0.932108,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,1,0.207985,0.933754,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,2,0.203613,0.985026,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,3,0.295358,0.969569,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,4,0.483777,0.980497,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,5,0.315345,0.959219,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,6,0.429371,0.963538,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,14,7,0.186228,0.979437,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,0,0.384377,0.961652,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,1,0.352248,0.973971,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,2,0.209767,0.979299,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,3,0.312060,0.951755,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,4,0.412720,0.970912,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,5,0.429053,0.956940,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,6,0.236895,0.979938,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,15,7,0.244637,0.979037,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,0,0.357604,0.953942,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,1,0.769657,0.891517,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,2,0.390534,0.956996,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,3,0.295583,0.944001,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,4,0.387691,0.967578,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,5,0.324755,0.971361,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,6,0.306376,0.970855,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,16,7,0.462742,0.972213,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,0,0.510076,0.954043,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,1,0.329148,0.963496,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,2,0.363932,0.953979,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,3,0.519091,0.961722,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,4,0.274529,0.975566,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,5,0.406306,0.958463,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,6,0.467057,0.957884,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,17,7,0.374362,0.970191,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,0,0.777216,0.960843,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,1,0.304226,0.961144,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,2,0.519293,0.953017,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,3,0.597690,0.970024,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,4,0.326854,0.962606,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,5,0.342873,0.978687,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,6,0.310621,0.957352,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,18,7,0.457738,0.955861,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,0,0.430469,0.940541,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,1,0.671707,0.917651,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,2,0.349797,0.940932,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,3,0.422609,0.969117,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,4,0.522031,0.969147,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,5,0.778004,0.890020,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,6,0.409919,0.933957,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,19,7,0.717071,0.944517,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,0,0.831633,0.910092,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,1,0.433887,0.969357,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,2,0.766828,0.936808,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,3,0.820990,0.890376,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,4,0.615607,0.940042,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,5,0.504538,0.949364,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,6,0.781695,0.957985,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,20,7,0.565242,0.965408,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,0,0.872782,0.974236,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,1,0.814554,0.979188,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,2,0.797159,0.972704,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,3,0.465114,0.940784,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,4,0.365648,0.970962,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,5,0.937538,0.957233,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,6,0.496959,0.944452,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,21,7,0.466003,0.942732,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,0,0.851102,0.886679,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,1,0.381745,0.941155,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,2,0.727654,0.929150,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,3,0.832345,0.957526,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,4,0.777072,0.951812,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,5,0.573811,0.966837,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,6,0.525600,0.941193,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,22,7,0.992130,0.957729,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,0,0.779629,0.927307,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,1,0.904392,0.946861,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,2,0.601465,0.956510,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,3,0.467283,0.964846,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,4,0.617427,0.927088,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,5,0.608155,0.948512,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,6,0.628246,0.961378,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,23,7,0.709249,0.927523,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,0,1.063641,0.974275,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,1,0.747980,0.965785,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,2,0.625937,0.969360,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,3,0.742467,0.943809,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,4,0.933413,0.946874,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,5,0.793162,0.911971,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,6,0.856907,0.927446,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,24,7,0.741857,0.938061,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,0,0.593376,0.949147,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,1,0.857216,0.960042,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,2,0.967508,0.949035,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,3,0.629990,0.924041,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,4,1.377940,0.935590,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,5,0.841174,0.944371,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,6,0.834003,0.936342,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,25,7,0.717911,0.956694,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,0,1.123007,0.898078,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,1,0.904723,0.973058,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,2,0.680498,0.964109,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,3,0.960438,0.955484,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,4,0.602259,0.978123,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,5,0.478588,0.965217,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,6,0.843196,0.973961,1906,2590,1906,100.00,73.59
20260629_211431_970929,terminate,0,terminate,1,26,7,0.876004,0.957286,1906,2590,1906,100.00,73.59
