run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine,input_tokens_a,input_tokens_b,overlap_tokens,overlap_pct_a,overlap_pct_b
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,0,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,1,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,2,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,3,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,4,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,5,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,6,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,0,7,0.000000,1.000000,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,0,0.019392,0.998416,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,1,0.032938,0.985916,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,2,0.016896,0.998226,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,3,0.016982,0.998735,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,4,0.017788,0.997826,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,5,0.019333,0.996233,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,6,0.018651,0.997037,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,1,7,0.016791,0.999514,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,0,0.096594,0.980511,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,1,0.047261,0.993361,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,2,0.034793,0.991828,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,3,0.031350,0.993243,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,4,0.039811,0.992036,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,5,0.035317,0.994012,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,6,0.035619,0.993840,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,2,7,0.059187,0.993069,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,0,0.073694,0.991514,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,1,0.040824,0.994369,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,2,0.074490,0.988963,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,3,0.060139,0.988997,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,4,0.061052,0.991749,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,5,0.052699,0.989501,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,6,0.043497,0.992435,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,3,7,0.057017,0.995520,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,0,0.144826,0.956989,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,1,0.122009,0.958808,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,2,0.115105,0.983794,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,3,0.124986,0.964128,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,4,0.109857,0.980781,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,5,0.089844,0.981035,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,6,0.059107,0.994547,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,4,7,0.053625,0.991953,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,0,0.095813,0.992266,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,1,0.095097,0.983896,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,2,0.059164,0.991494,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,3,0.085505,0.994678,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,4,0.081231,0.990416,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,5,0.087493,0.976215,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,6,0.140292,0.982665,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,5,7,0.075877,0.988363,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,0,0.228054,0.961133,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,1,0.108995,0.978349,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,2,0.252567,0.931479,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,3,0.119584,0.971085,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,4,0.124051,0.978345,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,5,0.161288,0.978007,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,6,0.231668,0.943764,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,6,7,0.115779,0.983430,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,0,0.345463,0.971596,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,1,0.222999,0.985369,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,2,0.220351,0.987723,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,3,0.187984,0.982599,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,4,0.215025,0.987610,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,5,0.211640,0.978447,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,6,0.261424,0.983936,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,7,7,0.298691,0.986440,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,0,0.224952,0.977566,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,1,0.299207,0.973639,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,2,0.189917,0.987274,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,3,0.207007,0.984442,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,4,0.291233,0.973743,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,5,0.180966,0.981456,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,6,0.185274,0.985994,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,8,7,0.201976,0.984948,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,0,0.210774,0.981817,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,1,0.152710,0.986446,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,2,0.203229,0.977181,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,3,0.160521,0.981987,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,4,0.188270,0.981326,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,5,0.166418,0.979310,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,6,0.197952,0.971354,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,9,7,0.157976,0.976486,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,0,0.188831,0.989602,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,1,0.273868,0.961120,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,2,0.170876,0.987084,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,3,0.180917,0.975173,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,4,0.205399,0.984898,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,5,0.186101,0.985619,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,6,0.286765,0.953642,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,10,7,0.203867,0.986772,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,0,0.184347,0.985128,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,1,0.266762,0.971371,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,2,0.186014,0.983213,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,3,0.219513,0.980121,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,4,0.287049,0.984747,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,5,0.184061,0.981095,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,6,0.218289,0.988186,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,11,7,0.226085,0.977168,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,0,0.185101,0.985284,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,1,0.220179,0.988367,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,2,0.259753,0.989410,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,3,0.240923,0.977830,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,4,0.195999,0.984562,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,5,0.243005,0.983960,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,6,0.170092,0.989331,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,12,7,0.191693,0.987750,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,0,0.432949,0.962702,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,1,0.270983,0.978646,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,2,0.332239,0.987047,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,3,0.337542,0.987624,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,4,0.241287,0.977942,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,5,0.223330,0.982375,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,6,0.287571,0.988974,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,13,7,0.328246,0.966716,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,14,0,0.223937,0.981251,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,14,1,0.204519,0.983119,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,14,2,0.209489,0.977928,2237,3207,2237,100.00,69.75
20260630_210317_639286,file_creator_viewer,0,file_saver,1,14,3,0.260915,0.973957,2237,3207,2237,100.00,69.75
