run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine,input_tokens_a,input_tokens_b,overlap_tokens,overlap_pct_a,overlap_pct_b
20260630_212350_350401,python_execute,0,terminate,1,0,0,0.194388,0.424596,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,1,0.226232,0.504502,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,2,0.271091,0.552922,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,3,0.324344,0.521342,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,4,0.219616,0.776883,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,5,0.238591,0.438550,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,6,0.197953,0.323892,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,0,7,0.220735,0.622282,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,0,0.417306,0.050701,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,1,0.177225,0.393196,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,2,0.303669,0.267781,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,3,0.306907,0.287604,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,4,0.315341,0.425349,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,5,0.245868,0.373267,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,6,0.325547,0.313286,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,1,7,0.232760,0.862096,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,0,0.282499,0.762931,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,1,0.352320,0.537176,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,2,0.405290,0.414131,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,3,0.355356,0.316176,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,4,0.322059,0.434438,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,5,0.425225,0.262836,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,6,0.346328,0.319075,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,2,7,0.312226,0.532839,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,0,0.443703,0.449042,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,1,0.386162,0.329383,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,2,0.390239,0.381966,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,3,0.444333,0.340672,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,4,0.398145,0.347236,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,5,0.389627,0.601132,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,6,0.344582,0.451547,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,3,7,0.436940,0.508654,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,0,0.392693,0.467409,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,1,0.486365,0.318993,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,2,0.386209,0.742736,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,3,0.510314,0.433619,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,4,0.563950,0.292441,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,5,0.386838,0.468565,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,6,0.402637,0.143233,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,4,7,0.414786,0.395685,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,0,0.300659,0.742619,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,1,0.436298,0.551575,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,2,0.491520,0.354629,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,3,0.289930,0.859943,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,4,0.410861,0.680021,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,5,0.332868,0.511037,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,6,0.462900,0.385000,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,5,7,0.363645,0.462257,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,0,0.472929,0.498962,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,1,0.344269,0.628364,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,2,0.469680,0.358390,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,3,0.461900,0.300702,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,4,0.383220,0.512738,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,5,0.380071,0.565086,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,6,0.438504,0.640713,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,6,7,0.440495,0.464773,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,0,1.120728,0.576252,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,1,0.946065,0.372527,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,2,0.837110,0.816347,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,3,0.559699,0.695006,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,4,1.050541,0.493020,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,5,0.746455,0.453401,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,6,0.863131,0.660429,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,7,7,0.783396,0.656249,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,0,0.910367,0.641045,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,1,0.831408,0.588134,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,2,1.130567,0.447776,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,3,0.737887,0.591824,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,4,0.957747,0.502845,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,5,1.100242,0.304775,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,6,1.110959,0.226957,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,8,7,0.661710,0.530891,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,0,0.761343,0.633661,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,1,0.635611,0.543720,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,2,0.863970,0.429612,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,3,0.754088,0.331541,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,4,1.068201,0.306296,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,5,0.681817,0.179717,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,6,0.584762,0.716359,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,9,7,0.446997,0.847986,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,10,0,1.162330,0.322124,1952,2661,1952,100.00,73.36
20260630_212350_350401,python_execute,0,terminate,1,10,1,1.071985,0.481153,1952,2661,1952,100.00,73.36
