run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_204303_789408,file_saver,0,terminate,1,0,0,0.005617,0.994842
20260623_204303_789408,file_saver,0,terminate,1,0,1,0.008442,0.997849
20260623_204303_789408,file_saver,0,terminate,1,0,2,0.007023,0.998243
20260623_204303_789408,file_saver,0,terminate,1,0,3,0.008918,0.995958
20260623_204303_789408,file_saver,0,terminate,1,0,4,0.006206,0.999754
20260623_204303_789408,file_saver,0,terminate,1,0,5,0.004890,0.993846
20260623_204303_789408,file_saver,0,terminate,1,0,6,0.005558,0.995853
20260623_204303_789408,file_saver,0,terminate,1,0,7,0.006419,0.998846
20260623_204303_789408,file_saver,0,terminate,1,1,0,0.013979,0.997704
20260623_204303_789408,file_saver,0,terminate,1,1,1,0.008776,0.999080
20260623_204303_789408,file_saver,0,terminate,1,1,2,0.008071,0.991064
20260623_204303_789408,file_saver,0,terminate,1,1,3,0.013134,0.995850
20260623_204303_789408,file_saver,0,terminate,1,1,4,0.011351,0.995514
20260623_204303_789408,file_saver,0,terminate,1,1,5,0.008639,0.998034
20260623_204303_789408,file_saver,0,terminate,1,1,6,0.012940,0.986314
20260623_204303_789408,file_saver,0,terminate,1,1,7,0.013484,0.999365
20260623_204303_789408,file_saver,0,terminate,1,2,0,0.039817,0.964226
20260623_204303_789408,file_saver,0,terminate,1,2,1,0.019655,0.987528
20260623_204303_789408,file_saver,0,terminate,1,2,2,0.014918,0.977383
20260623_204303_789408,file_saver,0,terminate,1,2,3,0.018429,0.983681
20260623_204303_789408,file_saver,0,terminate,1,2,4,0.021944,0.994904
20260623_204303_789408,file_saver,0,terminate,1,2,5,0.019123,0.981783
20260623_204303_789408,file_saver,0,terminate,1,2,6,0.015140,0.983749
20260623_204303_789408,file_saver,0,terminate,1,2,7,0.026383,0.978401
20260623_204303_789408,file_saver,0,terminate,1,3,0,0.042485,0.971657
20260623_204303_789408,file_saver,0,terminate,1,3,1,0.018711,0.993132
20260623_204303_789408,file_saver,0,terminate,1,3,2,0.028991,0.968988
20260623_204303_789408,file_saver,0,terminate,1,3,3,0.031124,0.972583
20260623_204303_789408,file_saver,0,terminate,1,3,4,0.025067,0.968693
20260623_204303_789408,file_saver,0,terminate,1,3,5,0.021254,0.990676
20260623_204303_789408,file_saver,0,terminate,1,3,6,0.020856,0.979590
20260623_204303_789408,file_saver,0,terminate,1,3,7,0.035963,0.953366
20260623_204303_789408,file_saver,0,terminate,1,4,0,0.048666,0.968241
20260623_204303_789408,file_saver,0,terminate,1,4,1,0.038876,0.973517
20260623_204303_789408,file_saver,0,terminate,1,4,2,0.038901,0.997387
20260623_204303_789408,file_saver,0,terminate,1,4,3,0.035367,0.966837
20260623_204303_789408,file_saver,0,terminate,1,4,4,0.044530,0.959836
20260623_204303_789408,file_saver,0,terminate,1,4,5,0.029205,0.988098
20260623_204303_789408,file_saver,0,terminate,1,4,6,0.025908,0.975347
20260623_204303_789408,file_saver,0,terminate,1,4,7,0.024755,0.983080
20260623_204303_789408,file_saver,0,terminate,1,5,0,0.061988,0.993791
20260623_204303_789408,file_saver,0,terminate,1,5,1,0.042299,0.986196
20260623_204303_789408,file_saver,0,terminate,1,5,2,0.030268,0.977872
20260623_204303_789408,file_saver,0,terminate,1,5,3,0.060587,0.993735
20260623_204303_789408,file_saver,0,terminate,1,5,4,0.034396,0.997258
20260623_204303_789408,file_saver,0,terminate,1,5,5,0.034375,0.984866
20260623_204303_789408,file_saver,0,terminate,1,5,6,0.058086,0.977912
20260623_204303_789408,file_saver,0,terminate,1,5,7,0.041574,0.983850
20260623_204303_789408,file_saver,0,terminate,1,6,0,0.088161,0.956081
20260623_204303_789408,file_saver,0,terminate,1,6,1,0.062543,0.984991
20260623_204303_789408,file_saver,0,terminate,1,6,2,0.088845,0.900381
20260623_204303_789408,file_saver,0,terminate,1,6,3,0.038833,0.948859
20260623_204303_789408,file_saver,0,terminate,1,6,4,0.050852,0.981533
20260623_204303_789408,file_saver,0,terminate,1,6,5,0.084937,0.972049
20260623_204303_789408,file_saver,0,terminate,1,6,6,0.079590,0.967216
20260623_204303_789408,file_saver,0,terminate,1,6,7,0.045425,0.978747
20260623_204303_789408,file_saver,0,terminate,1,7,0,0.154857,0.982526
20260623_204303_789408,file_saver,0,terminate,1,7,1,0.115591,0.964844
20260623_204303_789408,file_saver,0,terminate,1,7,2,0.108610,0.992166
20260623_204303_789408,file_saver,0,terminate,1,7,3,0.070925,0.964633
20260623_204303_789408,file_saver,0,terminate,1,7,4,0.109750,0.985946
20260623_204303_789408,file_saver,0,terminate,1,7,5,0.065693,0.975180
20260623_204303_789408,file_saver,0,terminate,1,7,6,0.151749,0.968221
20260623_204303_789408,file_saver,0,terminate,1,7,7,0.125913,0.983387
20260623_204303_789408,file_saver,0,terminate,1,8,0,0.142478,0.985391
