run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine,input_tokens_a,input_tokens_b,overlap_tokens,overlap_pct_a,overlap_pct_b
20260630_204241_920022,web_search,0,terminate,1,0,0,0.264788,0.080242,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,1,0.284429,0.295499,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,2,0.247492,0.549010,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,3,0.372323,0.346026,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,4,0.237691,0.714159,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,5,0.181612,0.132057,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,6,0.246738,-0.052998,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,0,7,0.282214,0.407884,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,0,0.390452,0.320762,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,1,0.198087,0.220051,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,2,0.216477,0.323199,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,3,0.323330,0.349401,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,4,0.265687,0.482648,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,5,0.211753,0.509628,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,6,0.375041,0.214717,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,1,7,0.216618,0.908778,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,0,0.377008,0.381478,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,1,0.416107,0.165981,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,2,0.401218,0.081559,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,3,0.393306,0.184444,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,4,0.442650,0.246808,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,5,0.431350,0.111139,1904,3065,1904,100.00,62.12
20260630_204241_920022,web_search,0,terminate,1,2,6,0.316492,0.202578,1904,3065,1904,100.00,62.12
