run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_055224_510591,web_search,0,web_search,1,0,0,0.008636,0.988562
20260623_055224_510591,web_search,0,web_search,1,0,1,0.009963,0.997013
20260623_055224_510591,web_search,0,web_search,1,0,2,0.009226,0.996927
20260623_055224_510591,web_search,0,web_search,1,0,3,0.012502,0.992511
20260623_055224_510591,web_search,0,web_search,1,0,4,0.007025,0.999685
20260623_055224_510591,web_search,0,web_search,1,0,5,0.007331,0.987891
20260623_055224_510591,web_search,0,web_search,1,0,6,0.006525,0.994609
20260623_055224_510591,web_search,0,web_search,1,0,7,0.007648,0.998418
20260623_055224_510591,web_search,0,web_search,1,1,0,0.018198,0.996578
20260623_055224_510591,web_search,0,web_search,1,1,1,0.011059,0.998555
20260623_055224_510591,web_search,0,web_search,1,1,2,0.011562,0.982644
20260623_055224_510591,web_search,0,web_search,1,1,3,0.016109,0.993805
20260623_055224_510591,web_search,0,web_search,1,1,4,0.013853,0.992517
20260623_055224_510591,web_search,0,web_search,1,1,5,0.011023,0.996963
20260623_055224_510591,web_search,0,web_search,1,1,6,0.017272,0.975753
20260623_055224_510591,web_search,0,web_search,1,1,7,0.015220,0.999354
20260623_055224_510591,web_search,0,web_search,1,2,0,0.029889,0.980457
20260623_055224_510591,web_search,0,web_search,1,2,1,0.021752,0.983002
20260623_055224_510591,web_search,0,web_search,1,2,2,0.019432,0.966537
20260623_055224_510591,web_search,0,web_search,1,2,3,0.018409,0.982385
20260623_055224_510591,web_search,0,web_search,1,2,4,0.023900,0.994087
20260623_055224_510591,web_search,0,web_search,1,2,5,0.024738,0.969527
20260623_055224_510591,web_search,0,web_search,1,2,6,0.015072,0.984074
20260623_055224_510591,web_search,0,web_search,1,2,7,0.020575,0.986011
20260623_055224_510591,web_search,0,web_search,1,3,0,0.040892,0.973572
20260623_055224_510591,web_search,0,web_search,1,3,1,0.022825,0.989870
20260623_055224_510591,web_search,0,web_search,1,3,2,0.031204,0.961672
