run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_210131_401393,,,default,main,gpt-5,,434,1366,1366,20.089664,,stop
20260630_210131_401393,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,1910,25,366,86.142599,0.000029,
