run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260623_204303_789408,,,default,main,gpt-5,,431,1481,1481,21.253696,,tool_calls
20260623_204303_789408,0,0,profiled_qwen,sub,Qwen/Qwen3-14B,file_saver,1940,106,431,29.346383,0.002690,
20260623_204303_789408,0,1,profiled_qwen,sub,Qwen/Qwen3-14B,terminate,2627,20,372,27.951562,0.000077,
