run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_204241_920022,,,default,main,gpt-5,,476,3741,3741,47.515859,,stop
20260630_204241_920022,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,web_search,1904,95,407,102.532086,2.241057,
20260630_204241_920022,0,1,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,3065,146,925,223.114397,0.000075,
