run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_211858_315550,,,default,main,gpt-5,,447,1222,1222,25.592218,,tool_calls
20260630_211858_315550,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,web_search,2070,43,246,61.246104,3.354237,
20260630_211858_315550,0,1,profiled_qwen,sub,Qwen/Qwen3-32B,web_search,3048,40,438,110.600791,2.621518,
20260630_211858_315550,0,2,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,4239,20,307,88.540100,0.000068,
