run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_211325_905015,,,default,main,gpt-5,,448,1443,1443,22.635566,,stop
20260630_211325_905015,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,,1901,38,594,135.742321,,
20260630_211325_905015,0,1,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,2534,64,297,74.769297,,
20260630_211325_905015,0,2,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,3226,63,381,99.137278,0.000073,
