run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_205428_460819,,,default,main,gpt-5,,846,4096,4096,59.697476,,length
20260630_205428_460819,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,web_search,1906,38,843,192.685485,3.322252,
20260630_205428_460819,0,1,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,2949,25,686,167.198458,0.000030,
