run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260629_202232_059823,,,default,main,gpt-5,,476,4096,4096,62.053251,,length
20260629_202232_059823,0,0,profiled_qwen,sub,Qwen/Qwen3-14B,web_search,1904,41,866,690.244066,4.054422,
20260629_202232_059823,0,1,profiled_qwen,sub,Qwen/Qwen3-14B,terminate,3037,20,296,484.207583,0.000050,
