run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_204857_394528,,,default,main,gpt-5,,432,1873,1873,21.616585,,stop
20260630_204857_394528,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,,1900,36,306,73.340034,,
20260630_204857_394528,0,1,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,2531,101,608,147.552407,,
20260630_204857_394528,0,2,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,3260,110,333,88.488825,0.000032,
