run_id,step_index,call_index,agent_name,llm_type,model,selected_tool,input_tokens,output_tokens,output_tokens_including_think,llm_latency_sec,tool_latency_sec,finish_reason
20260630_210317_639286,,,default,main,gpt-5,,431,1426,1426,26.059097,,tool_calls
20260630_210317_639286,0,0,profiled_qwen,sub,Qwen/Qwen3-32B,file_creator_viewer,2237,179,826,194.516016,0.242288,
20260630_210317_639286,0,1,profiled_qwen,sub,Qwen/Qwen3-32B,file_saver,3207,174,566,143.088349,0.001008,
20260630_210317_639286,0,2,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,4004,71,274,78.726927,,
20260630_210317_639286,0,3,profiled_qwen,sub,Qwen/Qwen3-32B,terminate,4707,137,640,165.563356,0.000023,
